master_camera_id,master_camera_label,master_camera_image_label,master_camera_timestamp,master_camera_sensor_id,master_camera_sensor_label,slave_camera_id,slave_camera_label,slave_camera_image_label,slave_camera_timestamp,slave_camera_sensor_id,slave_camera_sensor_label
6763,PR_20130406_052901_952_LC16,PR_20130406_052901_952_LC16,1365226142.774,12,auv_sirius_stereo_left,15659,PR_20130406_052901_952_RM16,PR_20130406_052901_952_RM16,1365226142.755,16,auv_sirius_stereo_right
6764,PR_20130406_052917_951_LC16,PR_20130406_052917_951_LC16,1365226158.775,12,auv_sirius_stereo_left,15660,PR_20130406_052917_951_RM16,PR_20130406_052917_951_RM16,1365226158.76,16,auv_sirius_stereo_right
6765,PR_20130406_051054_040_LC16,PR_20130406_051054_040_LC16,1365225054.861,12,auv_sirius_stereo_left,15661,PR_20130406_051054_040_RM16,PR_20130406_051054_040_RM16,1365225054.85,16,auv_sirius_stereo_right
6766,PR_20130406_052453_972_LC16,PR_20130406_052453_972_LC16,1365225894.785,12,auv_sirius_stereo_left,15662,PR_20130406_052453_972_RM16,PR_20130406_052453_972_RM16,1365225894.766,16,auv_sirius_stereo_right
6767,PR_20130406_050823_052_LC16,PR_20130406_050823_052_LC16,1365224903.85,12,auv_sirius_stereo_left,15663,PR_20130406_050823_052_RM16,PR_20130406_050823_052_RM16,1365224903.996,16,auv_sirius_stereo_right
6768,PR_20130406_050357_685_LC16,PR_20130406_050357_685_LC16,1365224638.49,12,auv_sirius_stereo_left,15664,PR_20130406_050357_685_RM16,PR_20130406_050357_685_RM16,1365224638.502,16,auv_sirius_stereo_right
6769,PR_20130406_052238_983_LC16,PR_20130406_052238_983_LC16,1365225759.786,12,auv_sirius_stereo_left,15665,PR_20130406_052238_983_RM16,PR_20130406_052238_983_RM16,1365225759.802,16,auv_sirius_stereo_right
6770,PR_20130406_050413_684_LC16,PR_20130406_050413_684_LC16,1365224654.532,12,auv_sirius_stereo_left,15666,PR_20130406_050413_684_RM16,PR_20130406_050413_684_RM16,1365224654.489,16,auv_sirius_stereo_right
6771,PR_20130406_053844_905_LC16,PR_20130406_053844_905_LC16,1365226725.717,12,auv_sirius_stereo_left,15667,PR_20130406_053844_905_RM16,PR_20130406_053844_905_RM16,1365226725.728,16,auv_sirius_stereo_right
6772,PR_20130406_053629_916_LC16,PR_20130406_053629_916_LC16,1365226590.73,12,auv_sirius_stereo_left,15668,PR_20130406_053629_916_RM16,PR_20130406_053629_916_RM16,1365226590.703,16,auv_sirius_stereo_right
