master_camera_id,master_camera_label,master_camera_image_label,master_camera_timestamp,master_camera_sensor_id,master_camera_sensor_label,slave_camera_id,slave_camera_label,slave_camera_image_label,slave_camera_timestamp,slave_camera_sensor_id,slave_camera_sensor_label
20110,PR_20120501_074036_411_LC16,PR_20120501_074036_411_LC16,1335858036.603,26,auv_sirius_stereo_left,30283,PR_20120501_074036_412_RM16,PR_20120501_074036_412_RM16,1335858036.582,30,auv_sirius_stereo_right
20111,PR_20120501_074052_426_LC16,PR_20120501_074052_426_LC16,1335858052.593,26,auv_sirius_stereo_left,30284,PR_20120501_074052_427_RM16,PR_20120501_074052_427_RM16,1335858052.613,30,auv_sirius_stereo_right
20112,PR_20120501_072224_341_LC16,PR_20120501_072224_341_LC16,1335856944.529,26,auv_sirius_stereo_left,30285,PR_20120501_072224_342_RM16,PR_20120501_072224_342_RM16,1335856944.51,30,auv_sirius_stereo_right
20113,PR_20120501_073628_169_LC16,PR_20120501_073628_169_LC16,1335857788.337,26,auv_sirius_stereo_left,30286,PR_20120501_073628_169_RM16,PR_20120501_073628_169_RM16,1335857788.357,30,auv_sirius_stereo_right
20114,PR_20120501_071953_192_LC16,PR_20120501_071953_192_LC16,1335856793.359,26,auv_sirius_stereo_left,30287,PR_20120501_071953_193_RM16,PR_20120501_071953_193_RM16,1335856793.377,30,auv_sirius_stereo_right
20115,PR_20120501_071527_934_LC16,PR_20120501_071527_934_LC16,1335856528.109,26,auv_sirius_stereo_left,30288,PR_20120501_071527_934_RM16,PR_20120501_071527_934_RM16,1335856528.126,30,auv_sirius_stereo_right
20116,PR_20120501_073413_037_LC16,PR_20120501_073413_037_LC16,1335857653.208,26,auv_sirius_stereo_left,30289,PR_20120501_073413_038_RM16,PR_20120501_073413_038_RM16,1335857653.224,30,auv_sirius_stereo_right
20117,PR_20120501_071543_949_LC16,PR_20120501_071543_949_LC16,1335856544.115,26,auv_sirius_stereo_left,30290,PR_20120501_071543_950_RM16,PR_20120501_071543_950_RM16,1335856544.138,30,auv_sirius_stereo_right
20118,PR_20120501_075019_979_LC16,PR_20120501_075019_979_LC16,1335858620.166,26,auv_sirius_stereo_left,30291,PR_20120501_075019_980_RM16,PR_20120501_075019_980_RM16,1335858620.152,30,auv_sirius_stereo_right
20119,PR_20120501_074804_848_LC16,PR_20120501_074804_848_LC16,1335858485.019,26,auv_sirius_stereo_left,30292,PR_20120501_074804_849_RM16,PR_20120501_074804_849_RM16,1335858485.033,30,auv_sirius_stereo_right
20120,PR_20120501_072938_769_LC16,PR_20120501_072938_769_LC16,1335857378.931,26,auv_sirius_stereo_left,30293,PR_20120501_072938_770_RM16,PR_20120501_072938_770_RM16,1335857378.954,30,auv_sirius_stereo_right
20121,PR_20120501_074340_590_LC16,PR_20120501_074340_590_LC16,1335858220.762,26,auv_sirius_stereo_left,30294,PR_20120501_074340_591_RM16,PR_20120501_074340_591_RM16,1335858220.777,30,auv_sirius_stereo_right
20122,PR_20120501_072512_508_LC16,PR_20120501_072512_508_LC16,1335857112.681,26,auv_sirius_stereo_left,30295,PR_20120501_072512_509_RM16,PR_20120501_072512_509_RM16,1335857112.7,30,auv_sirius_stereo_right
20123,PR_20120501_074109_443_LC16,PR_20120501_074109_443_LC16,1335858069.615,26,auv_sirius_stereo_left,30296,PR_20120501_074109_444_RM16,PR_20120501_074109_444_RM16,1335858069.633,30,auv_sirius_stereo_right
20124,PR_20120501_072241_358_LC16,PR_20120501_072241_358_LC16,1335856961.529,26,auv_sirius_stereo_left,30297,PR_20120501_072241_359_RM16,PR_20120501_072241_359_RM16,1335856961.55,30,auv_sirius_stereo_right
20125,PR_20120501_074125_459_LC16,PR_20120501_074125_459_LC16,1335858085.625,26,auv_sirius_stereo_left,30298,PR_20120501_074125_459_RM16,PR_20120501_074125_459_RM16,1335858085.648,30,auv_sirius_stereo_right
20126,PR_20120501_072257_374_LC16,PR_20120501_072257_374_LC16,1335856977.565,26,auv_sirius_stereo_left,30299,PR_20120501_072257_375_RM16,PR_20120501_072257_375_RM16,1335856977.546,30,auv_sirius_stereo_right
20127,PR_20120501_073645_185_LC16,PR_20120501_073645_185_LC16,1335857805.359,26,auv_sirius_stereo_left,30300,PR_20120501_073645_186_RM16,PR_20120501_073645_186_RM16,1335857805.374,30,auv_sirius_stereo_right
20128,PR_20120501_073701_201_LC16,PR_20120501_073701_201_LC16,1335857821.367,26,auv_sirius_stereo_left,30301,PR_20120501_073701_202_RM16,PR_20120501_073701_202_RM16,1335857821.394,30,auv_sirius_stereo_right
20129,PR_20120501_071833_113_LC16,PR_20120501_071833_113_LC16,1335856713.281,26,auv_sirius_stereo_left,30302,PR_20120501_071833_114_RM16,PR_20120501_071833_114_RM16,1335856713.299,30,auv_sirius_stereo_right
20130,PR_20120501_075103_021_LC16,PR_20120501_075103_021_LC16,1335858663.207,26,auv_sirius_stereo_left,30303,PR_20120501_075103_022_RM16,PR_20120501_075103_022_RM16,1335858663.191,30,auv_sirius_stereo_right
20131,PR_20120501_073430_053_LC16,PR_20120501_073430_053_LC16,1335857670.226,26,auv_sirius_stereo_left,30304,PR_20120501_073430_054_RM16,PR_20120501_073430_054_RM16,1335857670.242,30,auv_sirius_stereo_right
20132,PR_20120501_071600_965_LC16,PR_20120501_071600_965_LC16,1335856561.135,26,auv_sirius_stereo_left,30305,PR_20120501_071600_967_RM16,PR_20120501_071600_967_RM16,1335856561.15,30,auv_sirius_stereo_right
20133,PR_20120501_071616_980_LC16,PR_20120501_071616_980_LC16,1335856577.155,26,auv_sirius_stereo_left,30306,PR_20120501_071616_982_RM16,PR_20120501_071616_982_RM16,1335856577.17,30,auv_sirius_stereo_right
20134,PR_20120501_075054_012_LC16,PR_20120501_075054_012_LC16,1335858654.186,26,auv_sirius_stereo_left,30307,PR_20120501_075054_013_RM16,PR_20120501_075054_013_RM16,1335858654.204,30,auv_sirius_stereo_right
20135,PR_20120501_074357_607_LC16,PR_20120501_074357_607_LC16,1335858237.778,26,auv_sirius_stereo_left,30308,PR_20120501_074357_608_RM16,PR_20120501_074357_608_RM16,1335858237.794,30,auv_sirius_stereo_right
20136,PR_20120501_074413_622_LC16,PR_20120501_074413_622_LC16,1335858253.786,26,auv_sirius_stereo_left,30309,PR_20120501_074413_623_RM16,PR_20120501_074413_623_RM16,1335858253.811,30,auv_sirius_stereo_right
20137,PR_20120501_074142_475_LC16,PR_20120501_074142_475_LC16,1335858102.65,26,auv_sirius_stereo_left,30310,PR_20120501_074142_476_RM16,PR_20120501_074142_476_RM16,1335858102.663,30,auv_sirius_stereo_right
20138,PR_20120501_072314_391_LC16,PR_20120501_072314_391_LC16,1335856994.58,26,auv_sirius_stereo_left,30311,PR_20120501_072314_392_RM16,PR_20120501_072314_392_RM16,1335856994.565,30,auv_sirius_stereo_right
20139,PR_20120501_073718_217_LC16,PR_20120501_073718_217_LC16,1335857838.383,26,auv_sirius_stereo_left,30312,PR_20120501_073718_218_RM16,PR_20120501_073718_218_RM16,1335857838.402,30,auv_sirius_stereo_right
20140,PR_20120501_073734_233_LC16,PR_20120501_073734_233_LC16,1335857854.399,26,auv_sirius_stereo_left,30313,PR_20120501_073734_234_RM16,PR_20120501_073734_234_RM16,1335857854.422,30,auv_sirius_stereo_right
20141,PR_20120501_071906_146_LC16,PR_20120501_071906_146_LC16,1335856746.319,26,auv_sirius_stereo_left,30314,PR_20120501_071906_146_RM16,PR_20120501_071906_146_RM16,1335856746.332,30,auv_sirius_stereo_right
20142,PR_20120501_073503_085_LC16,PR_20120501_073503_085_LC16,1335857703.25,26,auv_sirius_stereo_left,30315,PR_20120501_073503_086_RM16,PR_20120501_073503_086_RM16,1335857703.273,30,auv_sirius_stereo_right
20143,PR_20120501_071633_996_LC16,PR_20120501_071633_996_LC16,1335856594.17,26,auv_sirius_stereo_left,30316,PR_20120501_071633_997_RM16,PR_20120501_071633_997_RM16,1335856594.184,30,auv_sirius_stereo_right
20144,PR_20120501_073037_827_LC16,PR_20120501_073037_827_LC16,1335857438.017,26,auv_sirius_stereo_left,30317,PR_20120501_073037_827_RM16,PR_20120501_073037_827_RM16,1335857437.999,30,auv_sirius_stereo_right
20145,PR_20120501_074701_786_LC16,PR_20120501_074701_786_LC16,1335858421.955,26,auv_sirius_stereo_left,30318,PR_20120501_074701_787_RM16,PR_20120501_074701_787_RM16,1335858421.974,30,auv_sirius_stereo_right
20146,PR_20120501_074854_897_LC16,PR_20120501_074854_897_LC16,1335858535.065,26,auv_sirius_stereo_left,30319,PR_20120501_074854_897_RM16,PR_20120501_074854_897_RM16,1335858535.085,30,auv_sirius_stereo_right
20147,PR_20120501_072820_693_LC16,PR_20120501_072820_693_LC16,1335857300.869,26,auv_sirius_stereo_left,30320,PR_20120501_072820_693_RM16,PR_20120501_072820_693_RM16,1335857300.884,30,auv_sirius_stereo_right
20148,PR_20120501_074430_639_LC16,PR_20120501_074430_639_LC16,1335858270.807,26,auv_sirius_stereo_left,30321,PR_20120501_074430_640_RM16,PR_20120501_074430_640_RM16,1335858270.828,30,auv_sirius_stereo_right
20149,PR_20120501_072602_558_LC16,PR_20120501_072602_558_LC16,1335857162.735,26,auv_sirius_stereo_left,30322,PR_20120501_072602_558_RM16,PR_20120501_072602_558_RM16,1335857162.753,30,auv_sirius_stereo_right
20150,PR_20120501_072356_433_LC16,PR_20120501_072356_433_LC16,1335857036.598,26,auv_sirius_stereo_left,30323,PR_20120501_072356_433_RM16,PR_20120501_072356_433_RM16,1335857036.62,30,auv_sirius_stereo_right
20151,PR_20120501_074446_654_LC16,PR_20120501_074446_654_LC16,1335858286.826,26,auv_sirius_stereo_left,30324,PR_20120501_074446_655_RM16,PR_20120501_074446_655_RM16,1335858286.842,30,auv_sirius_stereo_right
20152,PR_20120501_074022_397_LC16,PR_20120501_074022_397_LC16,1335858022.57,26,auv_sirius_stereo_left,30325,PR_20120501_074022_398_RM16,PR_20120501_074022_398_RM16,1335858022.583,30,auv_sirius_stereo_right
