master_camera_id,master_camera_label,master_camera_image_label,master_camera_timestamp,master_camera_sensor_id,master_camera_sensor_label,slave_camera_id,slave_camera_label,slave_camera_image_label,slave_camera_timestamp,slave_camera_sensor_id,slave_camera_sensor_label
40867,PR_20120531_004017_802_LC16,PR_20120531_004017_802_LC16,1338424817.995,40,auv_sirius_stereo_left,48438,PR_20120531_004017_804_RM16,PR_20120531_004017_804_RM16,1338424818.014,43,auv_sirius_stereo_right
40868,PR_20120531_004033_818_LC16,PR_20120531_004033_818_LC16,1338424834.018,40,auv_sirius_stereo_left,48439,PR_20120531_004033_820_RM16,PR_20120531_004033_820_RM16,1338424834.033,43,auv_sirius_stereo_right
40869,PR_20120531_002207_749_LC16,PR_20120531_002207_749_LC16,1338423727.943,40,auv_sirius_stereo_left,48440,PR_20120531_002207_751_RM16,PR_20120531_002207_751_RM16,1338423727.956,43,auv_sirius_stereo_right
40870,PR_20120531_005441_219_LC16,PR_20120531_005441_219_LC16,1338425681.412,40,auv_sirius_stereo_left,48441,PR_20120531_005441_221_RM16,PR_20120531_005441_221_RM16,1338425681.43,43,auv_sirius_stereo_right
40871,PR_20120531_003609_563_LC16,PR_20120531_003609_563_LC16,1338424569.754,40,auv_sirius_stereo_left,48442,PR_20120531_003609_564_RM16,PR_20120531_003609_564_RM16,1338424569.773,43,auv_sirius_stereo_right
40872,PR_20120531_001936_602_LC16,PR_20120531_001936_602_LC16,1338423576.792,40,auv_sirius_stereo_left,48443,PR_20120531_001936_604_RM16,PR_20120531_001936_604_RM16,1338423576.81,43,auv_sirius_stereo_right
40873,PR_20120531_005432_211_LC16,PR_20120531_005432_211_LC16,1338425672.422,40,auv_sirius_stereo_left,48444,PR_20120531_005432_212_RM16,PR_20120531_005432_212_RM16,1338425672.406,43,auv_sirius_stereo_right
40874,PR_20120531_001507_813_LC16,PR_20120531_001507_813_LC16,1338423308.01,40,auv_sirius_stereo_left,48445,PR_20120531_001507_815_RM16,PR_20120531_001507_815_RM16,1338423308.026,43,auv_sirius_stereo_right
40875,PR_20120531_003354_432_LC16,PR_20120531_003354_432_LC16,1338424434.64,40,auv_sirius_stereo_left,48446,PR_20120531_003354_433_RM16,PR_20120531_003354_433_RM16,1338424434.621,43,auv_sirius_stereo_right
40876,PR_20120531_001523_829_LC16,PR_20120531_001523_829_LC16,1338423324.023,40,auv_sirius_stereo_left,48447,PR_20120531_001523_830_RM16,PR_20120531_001523_830_RM16,1338423324.038,43,auv_sirius_stereo_right
40877,PR_20120531_005002_368_LC16,PR_20120531_005002_368_LC16,1338425402.566,40,auv_sirius_stereo_left,48448,PR_20120531_005002_369_RM16,PR_20120531_005002_369_RM16,1338425402.58,43,auv_sirius_stereo_right
40878,PR_20120531_004747_236_LC16,PR_20120531_004747_236_LC16,1338425267.434,40,auv_sirius_stereo_left,48449,PR_20120531_004747_238_RM16,PR_20120531_004747_238_RM16,1338425267.449,43,auv_sirius_stereo_right
40879,PR_20120531_002921_169_LC16,PR_20120531_002921_169_LC16,1338424161.364,40,auv_sirius_stereo_left,48450,PR_20120531_002921_170_RM16,PR_20120531_002921_170_RM16,1338424161.376,43,auv_sirius_stereo_right
40880,PR_20120531_004321_980_LC16,PR_20120531_004321_980_LC16,1338425002.191,40,auv_sirius_stereo_left,48451,PR_20120531_004321_982_RM16,PR_20120531_004321_982_RM16,1338425002.177,43,auv_sirius_stereo_right
40881,PR_20120531_002455_911_LC16,PR_20120531_002455_911_LC16,1338423896.103,40,auv_sirius_stereo_left,48452,PR_20120531_002455_913_RM16,PR_20120531_002455_913_RM16,1338423896.122,43,auv_sirius_stereo_right
40882,PR_20120531_005729_382_LC16,PR_20120531_005729_382_LC16,1338425849.575,40,auv_sirius_stereo_left,48453,PR_20120531_005729_383_RM16,PR_20120531_005729_383_RM16,1338425849.593,43,auv_sirius_stereo_right
40883,PR_20120531_004050_835_LC16,PR_20120531_004050_835_LC16,1338424851.024,40,auv_sirius_stereo_left,48454,PR_20120531_004050_836_RM16,PR_20120531_004050_836_RM16,1338424851.044,43,auv_sirius_stereo_right
40884,PR_20120531_002224_765_LC16,PR_20120531_002224_765_LC16,1338423744.958,40,auv_sirius_stereo_left,48455,PR_20120531_002224_766_RM16,PR_20120531_002224_766_RM16,1338423744.975,43,auv_sirius_stereo_right
40885,PR_20120531_004106_850_LC16,PR_20120531_004106_850_LC16,1338424867.039,40,auv_sirius_stereo_left,48456,PR_20120531_004106_851_RM16,PR_20120531_004106_851_RM16,1338424867.056,43,auv_sirius_stereo_right
40886,PR_20120531_002240_781_LC16,PR_20120531_002240_781_LC16,1338423760.99,40,auv_sirius_stereo_left,48457,PR_20120531_002240_782_RM16,PR_20120531_002240_782_RM16,1338423760.973,43,auv_sirius_stereo_right
40887,PR_20120531_003626_579_LC16,PR_20120531_003626_579_LC16,1338424586.772,40,auv_sirius_stereo_left,48458,PR_20120531_003626_581_RM16,PR_20120531_003626_581_RM16,1338424586.79,43,auv_sirius_stereo_right
40888,PR_20120531_005514_252_LC16,PR_20120531_005514_252_LC16,1338425714.461,40,auv_sirius_stereo_left,48459,PR_20120531_005514_253_RM16,PR_20120531_005514_253_RM16,1338425714.446,43,auv_sirius_stereo_right
40889,PR_20120531_003642_595_LC16,PR_20120531_003642_595_LC16,1338424602.782,40,auv_sirius_stereo_left,48460,PR_20120531_003642_596_RM16,PR_20120531_003642_596_RM16,1338424602.803,43,auv_sirius_stereo_right
40890,PR_20120531_001816_526_LC16,PR_20120531_001816_526_LC16,1338423496.717,40,auv_sirius_stereo_left,48461,PR_20120531_001816_528_RM16,PR_20120531_001816_528_RM16,1338423496.737,43,auv_sirius_stereo_right
40891,PR_20120531_005048_412_LC16,PR_20120531_005048_412_LC16,1338425448.61,40,auv_sirius_stereo_left,48462,PR_20120531_005048_414_RM16,PR_20120531_005048_414_RM16,1338425448.623,43,auv_sirius_stereo_right
40892,PR_20120531_003411_448_LC16,PR_20120531_003411_448_LC16,1338424451.646,40,auv_sirius_stereo_left,48463,PR_20120531_003411_450_RM16,PR_20120531_003411_450_RM16,1338424451.66,43,auv_sirius_stereo_right
40893,PR_20120531_005505_243_LC16,PR_20120531_005505_243_LC16,1338425705.435,40,auv_sirius_stereo_left,48464,PR_20120531_005505_244_RM16,PR_20120531_005505_244_RM16,1338425705.452,43,auv_sirius_stereo_right
40894,PR_20120531_001540_845_LC16,PR_20120531_001540_845_LC16,1338423341.059,40,auv_sirius_stereo_left,48465,PR_20120531_001540_846_RM16,PR_20120531_001540_846_RM16,1338423341.042,43,auv_sirius_stereo_right
40895,PR_20120531_001556_861_LC16,PR_20120531_001556_861_LC16,1338423357.075,40,auv_sirius_stereo_left,48466,PR_20120531_001556_862_RM16,PR_20120531_001556_862_RM16,1338423357.062,43,auv_sirius_stereo_right
40896,PR_20120531_005037_401_LC16,PR_20120531_005037_401_LC16,1338425437.592,40,auv_sirius_stereo_left,48467,PR_20120531_005037_403_RM16,PR_20120531_005037_403_RM16,1338425437.608,43,auv_sirius_stereo_right
40897,PR_20120531_004338_997_LC16,PR_20120531_004338_997_LC16,1338425019.189,40,auv_sirius_stereo_left,48468,PR_20120531_004338_999_RM16,PR_20120531_004338_999_RM16,1338425019.206,43,auv_sirius_stereo_right
40898,PR_20120531_004356_013_LC16,PR_20120531_004356_013_LC16,1338425036.207,40,auv_sirius_stereo_left,48469,PR_20120531_004356_015_RM16,PR_20120531_004356_015_RM16,1338425036.222,43,auv_sirius_stereo_right
40899,PR_20120531_005802_414_LC16,PR_20120531_005802_414_LC16,1338425882.608,40,auv_sirius_stereo_left,48470,PR_20120531_005802_415_RM16,PR_20120531_005802_415_RM16,1338425882.621,43,auv_sirius_stereo_right
40900,PR_20120531_004123_866_LC16,PR_20120531_004123_866_LC16,1338424884.061,40,auv_sirius_stereo_left,48471,PR_20120531_004123_868_RM16,PR_20120531_004123_868_RM16,1338424884.076,43,auv_sirius_stereo_right
40901,PR_20120531_002257_797_LC16,PR_20120531_002257_797_LC16,1338423777.989,40,auv_sirius_stereo_left,48472,PR_20120531_002257_799_RM16,PR_20120531_002257_799_RM16,1338423778.008,43,auv_sirius_stereo_right
40902,PR_20120531_003659_611_LC16,PR_20120531_003659_611_LC16,1338424619.9,40,auv_sirius_stereo_left,48473,PR_20120531_003659_613_RM16,PR_20120531_003659_613_RM16,1338424619.799,43,auv_sirius_stereo_right
40903,PR_20120531_003715_627_LC16,PR_20120531_003715_627_LC16,1338424635.817,40,auv_sirius_stereo_left,48474,PR_20120531_003715_628_RM16,PR_20120531_003715_628_RM16,1338424635.833,43,auv_sirius_stereo_right
40904,PR_20120531_001849_558_LC16,PR_20120531_001849_558_LC16,1338423529.755,40,auv_sirius_stereo_left,48475,PR_20120531_001849_559_RM16,PR_20120531_001849_559_RM16,1338423529.767,43,auv_sirius_stereo_right
40905,PR_20120531_003444_481_LC16,PR_20120531_003444_481_LC16,1338424484.679,40,auv_sirius_stereo_left,48476,PR_20120531_003444_482_RM16,PR_20120531_003444_482_RM16,1338424484.765,43,auv_sirius_stereo_right
40906,PR_20120531_001613_878_LC16,PR_20120531_001613_878_LC16,1338423374.07,40,auv_sirius_stereo_left,48477,PR_20120531_001613_878_RM16,PR_20120531_001613_878_RM16,1338423374.084,43,auv_sirius_stereo_right
40907,PR_20120531_003020_225_LC16,PR_20120531_003020_225_LC16,1338424220.437,40,auv_sirius_stereo_left,48478,PR_20120531_003020_226_RM16,PR_20120531_003020_226_RM16,1338424220.422,43,auv_sirius_stereo_right
40908,PR_20120531_004644_176_LC16,PR_20120531_004644_176_LC16,1338425204.375,40,auv_sirius_stereo_left,48479,PR_20120531_004644_178_RM16,PR_20120531_004644_178_RM16,1338425204.39,43,auv_sirius_stereo_right
40909,PR_20120531_004837_285_LC16,PR_20120531_004837_285_LC16,1338425317.467,40,auv_sirius_stereo_left,48480,PR_20120531_004837_286_RM16,PR_20120531_004837_286_RM16,1338425317.493,43,auv_sirius_stereo_right
40910,PR_20120531_002805_095_LC16,PR_20120531_002805_095_LC16,1338424085.281,40,auv_sirius_stereo_left,48481,PR_20120531_002805_096_RM16,PR_20120531_002805_096_RM16,1338424085.301,43,auv_sirius_stereo_right
40911,PR_20120531_004413_030_LC16,PR_20120531_004413_030_LC16,1338425053.226,40,auv_sirius_stereo_left,48482,PR_20120531_004413_032_RM16,PR_20120531_004413_032_RM16,1338425053.243,43,auv_sirius_stereo_right
40912,PR_20120531_002545_960_LC16,PR_20120531_002545_960_LC16,1338423946.169,40,auv_sirius_stereo_left,48483,PR_20120531_002545_961_RM16,PR_20120531_002545_961_RM16,1338423946.155,43,auv_sirius_stereo_right
40913,PR_20120531_002339_838_LC16,PR_20120531_002339_838_LC16,1338423820.03,40,auv_sirius_stereo_left,48484,PR_20120531_002339_840_RM16,PR_20120531_002339_840_RM16,1338423820.046,43,auv_sirius_stereo_right
