master_camera_id,master_camera_label,master_camera_image_label,master_camera_timestamp,master_camera_sensor_id,master_camera_sensor_label,slave_camera_id,slave_camera_label,slave_camera_image_label,slave_camera_timestamp,slave_camera_sensor_id,slave_camera_sensor_label
59561,PR_20110612_041053_817_LC16,PR_20110612_041053_817_LC16,1307851853.969,52,auv_sirius_stereo_left,70242,PR_20110612_041053_817_RM16,PR_20110612_041053_817_RM16,1307851853.955,55,auv_sirius_stereo_right
59562,PR_20110612_041109_817_LC16,PR_20110612_041109_817_LC16,1307851869.939,52,auv_sirius_stereo_left,70243,PR_20110612_041109_817_RM16,PR_20110612_041109_817_RM16,1307851869.952,55,auv_sirius_stereo_right
59563,PR_20110612_035245_762_LC16,PR_20110612_035245_762_LC16,1307850765.893,52,auv_sirius_stereo_left,70244,PR_20110612_035245_762_RM16,PR_20110612_035245_762_RM16,1307850765.883,55,auv_sirius_stereo_right
59564,PR_20110612_040645_803_LC16,PR_20110612_040645_803_LC16,1307851606.115,52,auv_sirius_stereo_left,70245,PR_20110612_040645_803_RM16,PR_20110612_040645_803_RM16,1307851606.128,55,auv_sirius_stereo_right
59565,PR_20110612_035014_759_LC16,PR_20110612_035014_759_LC16,1307850615.027,52,auv_sirius_stereo_left,70246,PR_20110612_035014_759_RM16,PR_20110612_035014_759_RM16,1307850615.016,55,auv_sirius_stereo_right
59566,PR_20110612_034550_746_LC16,PR_20110612_034550_746_LC16,1307850350.847,52,auv_sirius_stereo_left,70247,PR_20110612_034550_746_RM16,PR_20110612_034550_746_RM16,1307850350.838,55,auv_sirius_stereo_right
59567,PR_20110612_040430_804_LC16,PR_20110612_040430_804_LC16,1307851470.924,52,auv_sirius_stereo_left,70248,PR_20110612_040430_804_RM16,PR_20110612_040430_804_RM16,1307851470.91,55,auv_sirius_stereo_right
59568,PR_20110612_034606_747_LC16,PR_20110612_034606_747_LC16,1307850367.058,52,auv_sirius_stereo_left,70249,PR_20110612_034606_747_RM16,PR_20110612_034606_747_RM16,1307850367.053,55,auv_sirius_stereo_right
59569,PR_20110612_042036_840_LC16,PR_20110612_042036_840_LC16,1307852436.983,52,auv_sirius_stereo_left,70250,PR_20110612_042036_840_RM16,PR_20110612_042036_840_RM16,1307852436.996,55,auv_sirius_stereo_right
59570,PR_20110612_041821_840_LC16,PR_20110612_041821_840_LC16,1307852302.013,52,auv_sirius_stereo_left,70251,PR_20110612_041821_840_RM16,PR_20110612_041821_840_RM16,1307852301.988,55,auv_sirius_stereo_right
59571,PR_20110612_035957_784_LC16,PR_20110612_035957_784_LC16,1307851197.977,52,auv_sirius_stereo_left,70252,PR_20110612_035957_784_RM16,PR_20110612_035957_784_RM16,1307851197.988,55,auv_sirius_stereo_right
59572,PR_20110612_041357_826_LC16,PR_20110612_041357_826_LC16,1307852037.98,52,auv_sirius_stereo_left,70253,PR_20110612_041357_826_RM16,PR_20110612_041357_826_RM16,1307852037.967,55,auv_sirius_stereo_right
59573,PR_20110612_035533_769_LC16,PR_20110612_035533_769_LC16,1307850933.846,52,auv_sirius_stereo_left,70254,PR_20110612_035533_769_RM16,PR_20110612_035533_769_RM16,1307850933.835,55,auv_sirius_stereo_right
59574,PR_20110612_041126_825_LC16,PR_20110612_041126_825_LC16,1307851886.975,52,auv_sirius_stereo_left,70255,PR_20110612_041126_825_RM16,PR_20110612_041126_825_RM16,1307851886.962,55,auv_sirius_stereo_right
59575,PR_20110612_035302_768_LC16,PR_20110612_035302_768_LC16,1307850782.904,52,auv_sirius_stereo_left,70256,PR_20110612_035302_768_RM16,PR_20110612_035302_768_RM16,1307850782.894,55,auv_sirius_stereo_right
59576,PR_20110612_041142_826_LC16,PR_20110612_041142_826_LC16,1307851902.955,52,auv_sirius_stereo_left,70257,PR_20110612_041142_826_RM16,PR_20110612_041142_826_RM16,1307851902.943,55,auv_sirius_stereo_right
59577,PR_20110612_035318_769_LC16,PR_20110612_035318_769_LC16,1307850798.915,52,auv_sirius_stereo_left,70258,PR_20110612_035318_769_RM16,PR_20110612_035318_769_RM16,1307850798.908,55,auv_sirius_stereo_right
59578,PR_20110612_040702_811_LC16,PR_20110612_040702_811_LC16,1307851623.131,52,auv_sirius_stereo_left,70259,PR_20110612_040702_811_RM16,PR_20110612_040702_811_RM16,1307851623.118,55,auv_sirius_stereo_right
59579,PR_20110612_040718_812_LC16,PR_20110612_040718_812_LC16,1307851638.911,52,auv_sirius_stereo_left,70260,PR_20110612_040718_812_RM16,PR_20110612_040718_812_RM16,1307851638.898,55,auv_sirius_stereo_right
59580,PR_20110612_034854_754_LC16,PR_20110612_034854_754_LC16,1307850534.925,52,auv_sirius_stereo_left,70261,PR_20110612_034854_754_RM16,PR_20110612_034854_754_RM16,1307850534.937,55,auv_sirius_stereo_right
59581,PR_20110612_042118_857_LC16,PR_20110612_042118_857_LC16,1307852479.141,52,auv_sirius_stereo_left,70262,PR_20110612_042118_857_RM16,PR_20110612_042118_857_RM16,1307852479.128,55,auv_sirius_stereo_right
59582,PR_20110612_040447_759_LC16,PR_20110612_040447_759_LC16,1307851487.976,52,auv_sirius_stereo_left,70263,PR_20110612_040447_759_RM16,PR_20110612_040447_759_RM16,1307851487.989,55,auv_sirius_stereo_right
59583,PR_20110612_034623_702_LC16,PR_20110612_034623_702_LC16,1307850383.81,52,auv_sirius_stereo_left,70264,PR_20110612_034623_702_RM16,PR_20110612_034623_702_RM16,1307850383.801,55,auv_sirius_stereo_right
59584,PR_20110612_034639_702_LC16,PR_20110612_034639_702_LC16,1307850399.99,52,auv_sirius_stereo_left,70265,PR_20110612_034639_702_RM16,PR_20110612_034639_702_RM16,1307850400.0,55,auv_sirius_stereo_right
59585,PR_20110612_042109_848_LC16,PR_20110612_042109_848_LC16,1307852470.031,52,auv_sirius_stereo_left,70266,PR_20110612_042109_848_RM16,PR_20110612_042109_848_RM16,1307852470.045,55,auv_sirius_stereo_right
59586,PR_20110612_041414_833_LC16,PR_20110612_041414_833_LC16,1307852055.007,52,auv_sirius_stereo_left,70267,PR_20110612_041414_833_RM16,PR_20110612_041414_833_RM16,1307852054.99,55,auv_sirius_stereo_right
59587,PR_20110612_041430_834_LC16,PR_20110612_041430_834_LC16,1307852070.989,52,auv_sirius_stereo_left,70268,PR_20110612_041430_834_RM16,PR_20110612_041430_834_RM16,1307852070.976,55,auv_sirius_stereo_right
59588,PR_20110612_041159_782_LC16,PR_20110612_041159_782_LC16,1307851919.981,52,auv_sirius_stereo_left,70269,PR_20110612_041159_782_RM16,PR_20110612_041159_782_RM16,1307851919.967,55,auv_sirius_stereo_right
59589,PR_20110612_035335_725_LC16,PR_20110612_035335_725_LC16,1307850815.912,52,auv_sirius_stereo_left,70270,PR_20110612_035335_725_RM16,PR_20110612_035335_725_RM16,1307850815.904,55,auv_sirius_stereo_right
59590,PR_20110612_040735_768_LC16,PR_20110612_040735_768_LC16,1307851655.912,52,auv_sirius_stereo_left,70271,PR_20110612_040735_768_RM16,PR_20110612_040735_768_RM16,1307851655.898,55,auv_sirius_stereo_right
59591,PR_20110612_040751_768_LC16,PR_20110612_040751_768_LC16,1307851671.899,52,auv_sirius_stereo_left,70272,PR_20110612_040751_768_RM16,PR_20110612_040751_768_RM16,1307851671.877,55,auv_sirius_stereo_right
59592,PR_20110612_034927_711_LC16,PR_20110612_034927_711_LC16,1307850567.877,52,auv_sirius_stereo_left,70273,PR_20110612_034927_711_RM16,PR_20110612_034927_711_RM16,1307850567.866,55,auv_sirius_stereo_right
59593,PR_20110612_040520_766_LC16,PR_20110612_040520_766_LC16,1307851521.024,52,auv_sirius_stereo_left,70274,PR_20110612_040520_766_RM16,PR_20110612_040520_766_RM16,1307851521.011,55,auv_sirius_stereo_right
59594,PR_20110612_034656_709_LC16,PR_20110612_034656_709_LC16,1307850416.945,52,auv_sirius_stereo_left,70275,PR_20110612_034656_709_RM16,PR_20110612_034656_709_RM16,1307850416.938,55,auv_sirius_stereo_right
59595,PR_20110612_040056_753_LC16,PR_20110612_040056_753_LC16,1307851256.965,52,auv_sirius_stereo_left,70276,PR_20110612_040056_753_RM16,PR_20110612_040056_753_RM16,1307851256.954,55,auv_sirius_stereo_right
59596,PR_20110612_041718_843_LC16,PR_20110612_041718_843_LC16,1307852239.021,52,auv_sirius_stereo_left,70277,PR_20110612_041718_843_RM16,PR_20110612_041718_843_RM16,1307852239.007,55,auv_sirius_stereo_right
59597,PR_20110612_041911_804_LC16,PR_20110612_041911_804_LC16,1307852352.088,52,auv_sirius_stereo_left,70278,PR_20110612_041911_804_RM16,PR_20110612_041911_804_RM16,1307852352.074,55,auv_sirius_stereo_right
59598,PR_20110612_035841_752_LC16,PR_20110612_035841_752_LC16,1307851121.966,52,auv_sirius_stereo_left,70279,PR_20110612_035841_752_RM16,PR_20110612_035841_752_RM16,1307851121.956,55,auv_sirius_stereo_right
59599,PR_20110612_041447_790_LC16,PR_20110612_041447_790_LC16,1307852087.997,52,auv_sirius_stereo_left,70280,PR_20110612_041447_790_RM16,PR_20110612_041447_790_RM16,1307852087.984,55,auv_sirius_stereo_right
59600,PR_20110612_035623_731_LC16,PR_20110612_035623_731_LC16,1307850983.913,52,auv_sirius_stereo_left,70281,PR_20110612_035623_731_RM16,PR_20110612_035623_731_RM16,1307850983.9,55,auv_sirius_stereo_right
59601,PR_20110612_035417_740_LC16,PR_20110612_035417_740_LC16,1307850857.871,52,auv_sirius_stereo_left,70282,PR_20110612_035417_740_RM16,PR_20110612_035417_740_RM16,1307850857.861,55,auv_sirius_stereo_right
59602,PR_20110612_041503_787_LC16,PR_20110612_041503_787_LC16,1307852103.992,52,auv_sirius_stereo_left,70283,PR_20110612_041503_787_RM16,PR_20110612_041503_787_RM16,1307852104.005,55,auv_sirius_stereo_right
59603,PR_20110612_041039_778_LC16,PR_20110612_041039_778_LC16,1307851840.066,52,auv_sirius_stereo_left,70284,PR_20110612_041039_778_RM16,PR_20110612_041039_778_RM16,1307851840.052,55,auv_sirius_stereo_right
