master_camera_id,master_camera_label,master_camera_image_label,master_camera_timestamp,master_camera_sensor_id,master_camera_sensor_label,slave_camera_id,slave_camera_label,slave_camera_image_label,slave_camera_timestamp,slave_camera_sensor_id,slave_camera_sensor_label
81031,PR_20131022_011242_369_LC16,PR_20131022_011242_369_LC16,1382404363.226,65,auv_sirius_stereo_left,90732,PR_20131022_011242_369_RM16,PR_20131022_011242_369_RM16,1382404363.519,68,auv_sirius_stereo_right
81032,PR_20131022_012213_311_LC16,PR_20131022_012213_311_LC16,1382404934.158,65,auv_sirius_stereo_left,90733,PR_20131022_012213_311_RM16,PR_20131022_012213_311_RM16,1382404934.222,68,auv_sirius_stereo_right
81033,PR_20131022_010956_956_LC16,PR_20131022_010956_956_LC16,1382404197.811,65,auv_sirius_stereo_left,90734,PR_20131022_010956_956_RM16,PR_20131022_010956_956_RM16,1382404197.868,68,auv_sirius_stereo_right
81034,PR_20131022_005855_970_LC16,PR_20131022_005855_970_LC16,1382403536.974,65,auv_sirius_stereo_left,90735,PR_20131022_005855_970_RM16,PR_20131022_005855_970_RM16,1382403536.822,68,auv_sirius_stereo_right
81035,PR_20131022_013136_916_LC16,PR_20131022_013136_916_LC16,1382405497.774,65,auv_sirius_stereo_left,90736,PR_20131022_013136_915_RM16,PR_20131022_013136_915_RM16,1382405497.826,68,auv_sirius_stereo_right
81036,PR_20131022_012207_308_LC16,PR_20131022_012207_308_LC16,1382404928.229,65,auv_sirius_stereo_left,90737,PR_20131022_012207_308_RM16,PR_20131022_012207_308_RM16,1382404928.163,68,auv_sirius_stereo_right
81037,PR_20131022_010826_912_LC16,PR_20131022_010826_912_LC16,1382404107.745,65,auv_sirius_stereo_left,90738,PR_20131022_010826_912_RM16,PR_20131022_010826_912_RM16,1382404107.939,68,auv_sirius_stereo_right
81038,PR_20131022_013127_578_LC16,PR_20131022_013127_578_LC16,1382405488.423,65,auv_sirius_stereo_left,90739,PR_20131022_013127_578_RM16,PR_20131022_013127_578_RM16,1382405488.49,68,auv_sirius_stereo_right
81039,PR_20131022_011911_223_LC16,PR_20131022_011911_223_LC16,1382404752.13,65,auv_sirius_stereo_left,90740,PR_20131022_011911_223_RM16,PR_20131022_011911_223_RM16,1382404752.078,68,auv_sirius_stereo_right
81040,PR_20131022_005603_220_LC16,PR_20131022_005603_220_LC16,1382403364.072,65,auv_sirius_stereo_left,90741,PR_20131022_005603_219_RM16,PR_20131022_005603_219_RM16,1382403364.412,68,auv_sirius_stereo_right
81041,PR_20131022_010523_491_LC16,PR_20131022_010523_491_LC16,1382403924.401,65,auv_sirius_stereo_left,90742,PR_20131022_010523_490_RM16,PR_20131022_010523_490_RM16,1382403924.341,68,auv_sirius_stereo_right
81042,PR_20131022_012842_164_LC16,PR_20131022_012842_164_LC16,1382405323.018,65,auv_sirius_stereo_left,90743,PR_20131022_012842_165_RM16,PR_20131022_012842_165_RM16,1382405323.077,68,auv_sirius_stereo_right
81043,PR_20131022_011741_179_LC16,PR_20131022_011741_179_LC16,1382404662.042,65,auv_sirius_stereo_left,90744,PR_20131022_011741_179_RM16,PR_20131022_011741_179_RM16,1382404662.094,68,auv_sirius_stereo_right
81044,PR_20131022_012701_447_LC16,PR_20131022_012701_447_LC16,1382405222.359,65,auv_sirius_stereo_left,90745,PR_20131022_012701_450_RM16,PR_20131022_012701_450_RM16,1382405222.307,68,auv_sirius_stereo_right
81045,PR_20131022_011445_095_LC16,PR_20131022_011445_095_LC16,1382404485.952,65,auv_sirius_stereo_left,90746,PR_20131022_011445_095_RM16,PR_20131022_011445_095_RM16,1382404486.18,68,auv_sirius_stereo_right
81046,PR_20131022_010228_739_LC16,PR_20131022_010228_739_LC16,1382403749.643,65,auv_sirius_stereo_left,90747,PR_20131022_010228_739_RM16,PR_20131022_010228_739_RM16,1382403749.588,68,auv_sirius_stereo_right
81047,PR_20131022_012405_365_LC16,PR_20131022_012405_365_LC16,1382405046.223,65,auv_sirius_stereo_left,90748,PR_20131022_012405_365_RM16,PR_20131022_012405_365_RM16,1382405046.274,68,auv_sirius_stereo_right
81048,PR_20131022_011304_379_LC16,PR_20131022_011304_379_LC16,1382404385.231,65,auv_sirius_stereo_left,90749,PR_20131022_011304_379_RM16,PR_20131022_011304_379_RM16,1382404385.292,68,auv_sirius_stereo_right
81049,PR_20131022_010048_024_LC16,PR_20131022_010048_024_LC16,1382403648.931,65,auv_sirius_stereo_left,90750,PR_20131022_010048_024_RM16,PR_20131022_010048_024_RM16,1382403648.879,68,auv_sirius_stereo_right
